income,number,mean,se
"Under $5,000","4,235","1,080",40
"$5,000 to  $9,999","4,071","8,018",31
"$10,000 to $14,999","6,324","12,397",30
"$15,000 to $19,999","6,470","17,297",29
"$20,000 to $24,999","6,765","22,199",28
"$25,000 to $29,999","6,222","27,116",30
"$30,000 to $34,999","6,354","32,027",31
"$35,000 to $39,999","5,743","37,115",28
"$40,000 to $44,999","5,203","41,973",37
"$45,000 to $49,999","5,002","47,180",34
"$50,000 to $54,999","5,078","51,900",31
"$55,000 to $59,999","4,140","57,119",41
"$60,000 to $64,999","4,367","61,940",38
"$65,000 to $69,999","3,733","67,102",42
"$70,000 to $74,999","3,683","72,115",41
"$75,000 to $79,999","3,650","77,022",38
"$80,000 to $84,999","3,354","82,056",42
"$85,000 to $89,999","2,893","87,165",44
"$90,000 to $94,999","2,850","92,019",49
"$95,000 to $99,999","2,452","97,107",49
"$100,000 to $104,999","2,792","101,908",42
"$105,000 to $109,999","2,232","107,092",51
"$110,000 to $114,999","2,158","112,073",54
"$115,000 to $119,999","1,748","117,027",56
"$120,000 to $124,999","1,987","121,965",54
"$125,000 to $129,999","1,675","126,961",57
"$130,000 to $134,999","1,474","131,990",68
"$135,000 to $139,999","1,380","137,101",66
"$140,000 to $144,999","1,220","141,979",70
"$145,000 to $149,999","1,111","147,145",73
"$150,000 to $154,999","1,313","151,768",61
"$155,000 to $159,999","1,017","157,137",76
"$160,000 to $164,999",993,"162,080",88
"$165,000 to $169,999",761,"167,171",80
"$170,000 to $174,999",822,"172,199",88
"$175,000 to $179,999",700,"177,157",99
"$180,000 to $184,999",677,"182,009",78
"$185,000 to $189,999",536,"187,224",94
"$190,000 to $194,999",561,"191,951",97
"$195,000 to $199,999",431,"197,339",104
"$200,000 to $249,999","3,456","220,874",410
"$250,000 and over","4,184","411,551","5,980"
